timestamp,difficulty,mode,server,service,winner,reason,hits,duration_s,last_hitter,last_shot,score_kai_before,score_mina_before,sets_kai,sets_mina
2026-05-03T18:29:00,Club,singles,player,serve_drive,player,Faute filet,8,6.90,opponent,smash,11,10,0,0
2026-05-03T18:29:06,Club,singles,player,serve_drive,player,Faute filet,6,5.35,opponent,drop,12,10,0,0
2026-05-03T18:29:15,Club,singles,player,serve_short,player,Faute dehors,8,7.99,opponent,drop,13,10,0,0
2026-05-03T18:29:25,Club,singles,player,serve_short,opponent,Faute dehors,3,3.06,player,smash,0,0,0,0
2026-05-03T18:29:29,Club,singles,opponent,serve_lob,player,Point,2,2.84,player,smash,0,1,0,0
2026-05-03T18:29:33,Club,singles,player,serve_short,opponent,Point,4,3.01,opponent,smash,1,1,0,0
2026-05-03T18:29:39,Club,singles,opponent,serve_short,opponent,Faute dehors,4,4.24,player,drop,1,2,0,0
2026-05-03T18:29:45,Club,singles,opponent,serve_short,opponent,Faute dehors,6,5.30,player,smash,1,3,0,0
2026-05-03T18:29:52,Club,singles,opponent,serve_lob,player,Point,6,6.05,player,smash,1,4,0,0
2026-05-03T18:29:59,Club,singles,player,serve_short,opponent,Faute dehors,5,5.30,player,lob,2,4,0,0
2026-05-03T18:30:04,Club,singles,opponent,serve_short,opponent,Faute dehors,4,3.88,player,lob,2,5,0,0
2026-05-03T18:30:12,Club,singles,opponent,serve_lob,player,Point,6,7.10,player,drop,2,6,0,0
2026-05-03T18:30:17,Club,singles,player,serve_lob,opponent,Faute dehors,3,3.87,player,drop,3,6,0,0
2026-05-03T18:30:27,Club,singles,opponent,serve_lob,player,Point,8,8.21,player,drop,3,7,0,0
2026-05-03T18:30:32,Club,singles,player,serve_short,player,Point,3,3.70,player,drop,4,7,0,0
2026-05-03T18:30:41,Club,singles,player,serve_lob,opponent,Faute dehors,7,8.21,player,smash,5,7,0,0
2026-05-03T18:30:55,Club,singles,opponent,serve_drive,opponent,Faute filet,14,12.93,player,drop,5,8,0,0
2026-05-03T18:31:00,Club,singles,opponent,serve_short,opponent,Faute filet,4,3.01,player,smash,5,9,0,0
2026-05-03T18:31:02,Club,singles,opponent,serve_drive,player,Faute service,1,1.57,opponent,serve_drive,5,10,0,0
2026-05-03T18:31:26,Club,singles,player,serve_drive,opponent,Faute dehors,23,22.46,player,smash,6,10,0,0
2026-05-03T18:31:31,Club,singles,opponent,serve_lob,player,Faute dehors,3,3.81,opponent,smash,6,11,0,0
2026-05-03T18:31:51,Club,singles,player,serve_drive,opponent,Point,18,19.35,opponent,smash,7,11,0,0
2026-05-03T18:31:57,Club,singles,opponent,serve_lob,opponent,Point,3,4.14,opponent,smash,7,12,0,0
2026-05-03T18:32:02,Club,singles,opponent,serve_short,opponent,Faute dehors,4,3.88,player,drop,7,13,0,0
2026-05-03T18:32:10,Club,singles,opponent,serve_lob,opponent,Point,5,6.65,opponent,smash,7,14,0,0
2026-05-03T18:32:28,Club,singles,opponent,serve_lob,opponent,Faute filet,18,17.56,player,drop,7,15,0,0
2026-05-03T18:32:38,Club,singles,opponent,serve_drive,opponent,Faute filet,10,8.25,player,drop,7,16,0,0
2026-05-03T18:32:47,Club,singles,opponent,serve_drive,opponent,Faute dehors,8,7.73,player,smash,7,17,0,0
2026-05-03T18:33:03,Club,singles,opponent,serve_short,player,Faute dehors,17,14.85,opponent,smash,7,18,0,0
2026-05-03T18:33:06,Club,singles,player,serve_short,player,Faute dehors,2,2.14,opponent,drive,8,18,0,0
2026-05-03T18:33:12,Club,singles,player,serve_lob,opponent,Point,4,5.43,opponent,smash,9,18,0,0
2026-05-03T18:33:37,Club,singles,opponent,serve_short,opponent,Faute dehors,24,23.79,player,drop,9,19,0,0
2026-05-03T18:33:42,Club,singles,opponent,serve_lob,opponent,Faute dehors,2,2.89,player,smash,9,20,0,0
2026-05-03T18:34:03,Club,singles,player,serve_lob,opponent,Point,2,2.89,opponent,smash,0,0,0,0
2026-05-03T18:34:11,Club,singles,opponent,serve_short,opponent,Faute dehors,6,6.75,player,drop,0,1,0,0
2026-05-03T18:34:26,Club,singles,opponent,serve_drive,player,Faute dehors,13,13.40,opponent,drop,0,2,0,0
2026-05-03T18:34:29,Club,singles,player,serve_short,player,Faute dehors,2,2.37,opponent,drop,1,2,0,0
2026-05-03T18:34:37,Club,singles,player,serve_short,player,Faute dehors,6,6.58,opponent,smash,2,2,0,0
2026-05-03T18:34:55,Club,singles,player,serve_lob,player,Point,17,17.30,player,smash,3,2,0,0
2026-05-03T18:34:57,Club,singles,player,serve_drive,opponent,Faute service,1,1.50,player,serve_drive,4,2,0,0
2026-05-03T18:35:25,Club,singles,opponent,serve_short,opponent,Faute filet,28,26.13,player,smash,4,3,0,0
2026-05-03T18:35:38,Club,singles,opponent,serve_lob,opponent,Point,13,12.23,opponent,smash,4,4,0,0
2026-05-03T18:35:42,Club,singles,opponent,serve_drive,player,Faute filet,3,2.04,opponent,drop,4,5,0,0
2026-05-03T18:35:45,Club,singles,player,serve_drive,player,Faute dehors,2,2.88,opponent,lob,5,5,0,0
2026-05-03T18:36:00,Club,singles,player,serve_short,player,Point,15,13.55,player,drop,6,5,0,0
2026-05-03T18:36:04,Club,singles,player,serve_lob,opponent,Faute filet,3,3.40,player,smash,7,5,0,0
2026-05-03T18:36:10,Club,singles,opponent,serve_lob,player,Faute dehors,3,4.84,opponent,lob,7,6,0,0
2026-05-03T18:36:18,Club,singles,player,serve_lob,player,Faute dehors,6,6.23,opponent,drop,8,6,0,0
2026-05-03T18:36:23,Club,singles,player,serve_lob,player,Faute filet,4,4.71,opponent,drop,9,6,0,0
2026-05-03T18:36:34,Club,singles,player,serve_lob,player,Point,9,9.24,player,drop,10,6,0,0
2026-05-03T18:36:46,Club,singles,player,serve_lob,opponent,Point,10,11.84,opponent,smash,11,6,0,0
2026-05-03T18:36:53,Club,singles,opponent,serve_lob,opponent,Point,5,4.72,opponent,smash,11,7,0,0
2026-05-03T18:37:03,Club,singles,opponent,serve_lob,opponent,Faute dehors,8,8.75,player,lob,11,8,0,0
2026-05-03T18:37:08,Club,singles,opponent,serve_drive,player,Faute filet,5,3.93,opponent,drop,11,9,0,0
2026-05-03T18:37:22,Club,singles,player,serve_short,opponent,Point,14,13.12,opponent,smash,12,9,0,0
2026-05-03T18:37:29,Club,singles,opponent,serve_lob,opponent,Point,5,6.14,opponent,smash,12,10,0,0
2026-05-03T18:37:33,Club,singles,opponent,serve_drive,player,Faute dehors,3,2.98,opponent,smash,12,11,0,0
2026-05-03T18:37:37,Club,singles,player,serve_lob,opponent,Point,2,2.86,opponent,smash,13,11,0,0
2026-05-03T18:37:54,Club,singles,opponent,serve_lob,player,Point,14,15.30,player,smash,13,12,0,0
2026-05-03T18:38:02,Club,singles,player,serve_lob,player,Faute filet,6,7.03,opponent,smash,14,12,0,0
2026-05-03T18:38:16,Club,singles,player,serve_short,player,Faute filet,14,12.95,opponent,smash,15,12,0,0
2026-05-03T18:38:20,Club,singles,player,serve_short,player,Faute filet,4,3.06,opponent,drop,16,12,0,0
2026-05-03T18:38:24,Club,singles,player,serve_lob,opponent,Faute filet,3,2.76,player,smash,17,12,0,0
2026-05-03T18:38:28,Club,singles,opponent,serve_lob,opponent,Faute dehors,2,2.84,player,smash,17,13,0,0
2026-05-03T18:38:38,Club,singles,opponent,serve_lob,player,Point,10,9.32,player,smash,17,14,0,0
2026-05-03T18:38:41,Club,singles,player,serve_short,player,Faute dehors,2,2.32,opponent,drop,18,14,0,0
