rally,hit,hitter,kind,start_x,start_z,target_x,target_z,end_x,end_z,moved,remaining
1,1,player,serve_short,-2.7,0.62,-3.1115997849549415,-0.17008198304871763,-3.1115997849549415,-0.17008198304871763,0.8908669501744624,0.0
1,2,opponent,drop,2.36,-0.62,3.0154205897234996,-0.33400720999685074,3.0154205897234996,-0.33400720999685074,0.7151000107448506,0.0
1,3,player,lob,-2.098935580774455,-1.3512457799231479,-4.386145275984787,-0.5782395650815899,-4.386145275984787,-0.5782395650815899,2.4143046199781444,0.0
1,4,opponent,drop,3.738503680145775,-2.27,3.017112372701528,-0.7388729054794267,3.1733702626176914,-1.0705246546956335,1.3259400000000001,0.36661889056515023
1,5,player,drop,-0.9864216964510374,-2.27,-3.0960349694985165,0.3433799192933026,-2.3709031038992485,-0.554910341110348,2.204160000000001,1.1544442881505947
1,6,opponent,lob,1.3882601537198704,0.32381742967474025,4.139059073254732,0.0026273090661813117,3.5612982669234454,0.07008809718508269,2.187801,0.5816859180573322
2,1,opponent,serve_lob,2.7,0.62,4.077158288489342,-0.19626629229096787,4.077158288489342,-0.19626629229096787,1.6008921298717587,0.0
2,2,player,lob,-2.36,-0.62,-4.524284394825259,-0.5192636152706558,-4.524284394825259,-0.5192636152706558,2.1666275085700537,0.0
2,3,opponent,lob,5.501290344818241,-1.3834887285149473,4.526838565439642,-0.5110702213472985,4.526838565439642,-0.5110702213472985,1.307925961965258,0.0
3,1,player,serve_lob,-2.7,0.62,-4.17990660201159,-0.6181680018912272,-4.17990660201159,-0.6181680018912272,1.9295552730058818,0.0
3,2,opponent,smash,2.36,-0.62,3.1302529864558855,-0.9199253497915659,3.0519219334170518,-0.889424372975737,0.7425264000000001,0.08405988018604543
3,3,player,lob,-2.224697385942425,-2.813298243231118,-4.374568446152439,-0.15829648477774239,-4.374568446152439,-0.15829648477774239,3.4162815915727798,0.0
3,4,opponent,smash,4.5658759188606215,-0.5219490246672398,3.4901971145749404,-0.2833588349960768,3.8409671583285436,-0.3611611407928429,0.7425263999999999,0.35929489612600707
3,5,player,drop,-2.561163005891602,-0.59431575332071,-3.0543875816804062,-0.7048452751564207,-3.0543875816804062,-0.7048452751564207,0.5054574733439766,0.0
3,6,opponent,drop,1.6338262757462185,-1.9013578463973106,2.945347898006317,-0.5852446515393167,2.5697676674052587,-0.9621397700277492,1.3259400000000001,0.5320812343606506
3,7,player,drop,-2.3281427733567917,-2.1909273548161146,-3.097607611640572,0.025859980887807985,-3.050920944861371,-0.10864182674929834,2.204160000000001,0.14237408862781636
3,8,opponent,smash,1.120298208777593,-0.5181218341844981,3.459928748969932,-0.07277967043310352,1.8497278144080351,-0.3792769382510221,0.7425264,1.6391118402488145
3,9,player,lob,-2.898879676925382,-0.5533302006464836,-4.5101647137793375,0.03202009141562058,-4.5101647137793375,0.03202009141562058,1.7143145669353228,0.0
3,10,opponent,smash,4.912858172567669,0.3891572157224791,3.2653020957050773,-0.048622803997927705,4.195233441089298,0.19847370970385245,0.7425263999999998,0.9622000801349382
3,11,player,smash,-2.302446040757437,0.2936428054728753,-3.474348585597881,-0.02263867317249329,-3.474348585597881,-0.02263867317249329,1.213832586618768,0.0
3,12,opponent,smash,3.9946913367517523,-0.006625876976766809,3.2166697544083696,0.7181084341042332,3.4513694070610965,0.4994835335405465,0.7425264000000001,0.32075032985453433
3,13,player,smash,-2.6528150633054524,1.779531447423993,-3.1344693424426895,0.7751345441575109,-3.1344693424426895,0.7751345441575109,1.1139138134983828,0.0
3,14,opponent,drop,2.185539249020298,2.27,2.9553834140929562,0.5989181827337888,2.740338882825846,1.0657100640089905,1.3259400000000001,0.5139443655225078
3,15,player,smash,-1.705390718576358,2.27,-3.056657087515834,0.6641506535247711,-2.500112798695303,1.3255496959566493,1.2343296000000001,0.8644016651699349
3,16,opponent,drop,3.313802980254475,2.27,2.7743243908768362,0.5632830194869924,2.9141737432850587,1.0057162673832891,1.3259400000000003,0.46400971995537454
3,17,player,drop,-1.2764088264706515,2.27,-3.0765665667314153,0.48830963820403095,-2.843000233514723,0.7194798714703257,2.2041600000000003,0.3286227453489548
3,18,opponent,smash,1.6624724679469518,1.9207107221285231,3.1637051136675387,-0.8924830086128238,2.012053040774508,1.2656237982790866,0.7425263999999999,2.4461658747828223
4,1,opponent,serve_drive,2.7,0.62,3.6079176379828137,-0.1936562685944627,3.52944754757731,-0.12333306053622173,1.1137895999999998,0.10537034060802207
4,2,player,lob,-2.36,-0.62,-4.367892441569361,0.9035335828949178,-4.367892441569361,0.9035335828949178,2.5204734942307954,0.0
4,3,opponent,lob,3.6594529877242965,2.27,4.013324506974892,0.7654617368966878,4.013324506974892,0.7654617368966878,1.5455938785071117,0.0
4,4,player,smash,-6.266364246864942,2.1430389693527285,-3.110075943441906,0.47224977732955276,-5.175451940601521,1.5655617823754566,1.2343295999999997,2.3369016132521643
4,5,opponent,lob,2.395527119801125,1.8208457637196234,4.400089751239045,-0.541376499378961,3.8110888335007758,0.15271559784265976,2.1878009999999994,0.9103218774268972
4,6,player,lob,-3.7394001285471137,-0.21449406233285057,-4.099000314691523,-0.043061007488519654,-4.099000314691523,-0.043061007488519654,0.3983736765504883,0.0
4,7,opponent,smash,5.863041755510428,-0.0970810679069673,3.310877707357687,-0.009992438262018767,5.1209472807413725,-0.07175824787841045,0.7425263999999997,1.8111230978944985
4,8,player,lob,-3.1487438519173394,0.17632210949230448,-4.398442586798496,-0.8491982238753985,-4.398442586798496,-0.8491982238753985,1.6166133990890241,0.0
4,9,opponent,lob,5.5235018392559,-1.9973494282432724,4.543133354011756,-0.7611771219385941,4.543133354011756,-0.7611771219385941,1.5777339248854747,0.0
4,10,player,lob,-3.6712698208433423,-2.27,-4.40283373716033,-0.27915715250206685,-4.40283373716033,-0.27915715250206685,2.121000001671553,0.0
4,11,opponent,lob,1.6356976224656385,-0.548824193560585,4.1315087346625345,-0.030743594579223446,3.7778335948931154,-0.10415949827526494,2.187801,0.36121461682277556
4,12,player,drop,-5.714692767395174,-0.504166346539732,-3.0783884711757024,-0.05952860804730736,-3.541229198287908,-0.1375910891047778,2.2041600000000003,0.4693775555164552
4,13,opponent,drop,1.027043676685915,-0.7582784631006971,3.0785659472811018,-0.02315170202772162,2.2752659761675913,-0.3110000546382765,1.32594,0.8533156026298694
6,1,opponent,serve_lob,2.7,0.62,4.14735766570845,-0.6150808691833843,4.14735766570845,-0.6150808691833843,1.9027004404024812,0.0
6,2,player,lob,-2.36,-0.62,-4.13673931254047,0.04878233170813433,-4.13673931254047,0.04878233170813433,1.8984394622773075,0.0
6,3,opponent,smash,6.093650874536046,0.25226854184333636,4.1537545531578495,-0.11535662323671322,5.36410899534501,0.11401478528181391,0.7425264000000004,1.231896553598542
6,4,player,drop,-3.0418607088287484,0.11469023755873364,-3.0956251473514054,0.017899936165226227,-3.0956251473514054,0.017899936165226227,0.11072026595661053,0.0
6,5,opponent,smash,1.2949634253681672,0.5188178482281148,3.0548131425109637,0.56475701691505,2.0372369682880347,0.5381941785862586,0.7425264000000001,1.0179228137370016
7,1,player,serve_short,-2.7,0.62,-3.163215609074994,-0.5293659186323897,-3.163215609074994,-0.5293659186323897,1.2391976095056005,0.0
7,2,opponent,drop,2.36,-0.62,3.299758501157123,-0.04384476054757379,3.299758501157123,-0.04384476054757379,1.1023161526737986,0.0
7,3,player,drop,-1.9338841704055394,-0.04351164909421468,-2.803145602995516,-0.09762732491194309,-2.803145602995516,-0.09762732491194309,0.8709442832682168,0.0
7,4,opponent,drop,0.9864533792724824,-0.07914197347147739,2.9098952068887134,0.9096632262243673,2.165693741014331,0.5270832757873731,1.3259400000000003,0.8367814770213026
7,5,player,drop,-1.8147989156101674,2.27,-2.9595543731089573,0.6293721128505374,-2.9595543731089573,0.6293721128505374,2.0005311598587445,0.0
7,6,opponent,drop,0.9416303692394454,2.27,3.2811919820484916,0.4962224331894204,1.9982261518284126,1.468924325787377,1.3259400000000001,1.6100156189850903
7,7,player,drop,-1.7081164685627086,1.86228739284393,-2.947825316143491,-0.032535038838401725,-2.914877880447951,0.017823188695544667,2.2041600000000003,0.06017877199870766
7,8,opponent,lob,1.0186566543997637,0.4468853292324966,4.3624119035872,0.37137181033739425,3.2058999652524913,0.39748983620937517,2.187801,1.1568068182657618
7,9,player,lob,-4.052593229534005,1.1052128098924205,-4.429951427349137,-0.02665587020953744,-4.429951427349137,-0.02665587020953744,1.1931160540592993,0.0
7,10,opponent,drop,4.605548609907146,0.24472255393705455,2.9000357375638752,0.2121431337361047,3.279850463052165,0.219398513476036,1.3259400000000003,0.37988401681686434
7,11,player,lob,-0.946753065411298,0.8374848035288239,-4.4864150123430635,0.5361517894284292,-4.4864150123430635,0.5361517894284292,3.55246509960951,0.0
7,12,opponent,smash,5.479214860832867,1.586339977966594,3.0107564523256345,0.6830953488037206,4.781905031806426,1.3311842274139638,0.7425264000000004,1.885997477510272
7,13,player,lob,-2.1974555105093065,2.0751522743903767,-4.352092327978426,0.7923394870785523,-4.352092327978426,0.7923394870785523,2.5076021340085406,0.0
7,14,opponent,lob,3.285938344550015,2.9773274798301137,4.4909307325626155,0.8267965535445455,4.355374859549769,1.0687209839839482,2.187801,0.27731358558805635
7,15,player,lob,-5.253623774036854,2.27,-4.417610314068693,0.5090315808896843,-4.417610314068693,0.5090315808896843,1.9493404726603873,0.0
7,16,opponent,drop,3.656003111459265,2.173274570046445,3.146161762572995,0.6476036283312946,3.235751377134183,0.9156954022018271,1.3259400000000001,0.28266499297626324
7,17,player,lob,-1.6320736616684277,1.6600099550432827,-4.539752260736826,0.49433237335335967,-4.539752260736826,0.49433237335335967,3.132634523836898,0.0
7,18,opponent,lob,4.264200060112407,1.1883555112332858,4.549505961059571,-0.7755283949060308,4.549505961059571,-0.7755283949060308,1.9844997994225881,0.0
7,19,player,smash,-3.361873247915742,-2.90339546155453,-3.3005741448376207,0.24436199869717415,-3.3378405975539702,-1.6692998440464095,1.2343296,1.914024669869965
7,20,opponent,lob,3.4124167410896487,0.04635680533970049,4.086489866804719,0.21327714384698404,4.086489866804719,0.21327714384698404,0.6944328464428156,0.0
7,21,player,lob,-6.288915957735184,0.5010663157231354,-4.51236490551443,0.017284656029862455,-4.51236490551443,0.017284656029862455,1.8412436925627862,0.0
7,22,opponent,smash,3.492216777983594,0.20830941140060633,3.0024344947136012,0.7168331141557349,3.0024344947136012,0.7168331141557349,0.7060333145602647,0.0
7,23,player,drop,-3.228262146761563,2.27,-3.195037811570721,-0.479460257513107,-3.2016291360375484,0.0660009100864456,2.2041600000000003,0.5455009907573901
7,24,opponent,smash,1.6789906631023406,-0.24680663997570834,3.2545618759860324,-0.04275197845910583,2.4153670359389112,-0.15143739847187662,0.7425264000000001,0.8462035807564665
